Eidgenössische Volksabstimmung vom  24.11.2013;;;;;;;;;;
Votation populaire fédérale du  24.11.2013;;;;;;;;;;
;;;;;;;;;;
Volksinitiative «1:12 - Für gerechte Löhne» / Initiative populaire «1:12 - Pour des salaires équitables»;;;;;;;;;;
Kanton Bern / Canton de Berne;;;;;;;;;;
;;;;;Stimmzettel / Bulletins;;;;;
Verwaltungskreis;Anzahl Stimmber.;AuslandschweizerInnen;Eingelangte Ausweiskarten;Stimmb.;Eingelangte;Ausser Betracht fallende / non valables;;in Betracht fallende;Ja;Nein
Arrondissement administratif;No. d'?lec.;Suisses de l'?tranger;Nombre de cartes de l?g. rentr?es;Part.;rentr?s ;leer / blancs ;ung?ltig / nuls ;valables;Oui;Non
;;;;;;;;;;
Jura bernois;35961;644;26931;73.96%;26597;680;106;25811;12298;13513
Biel/Bienne;62667;709;30097;47.91%;30023;398;12;29613;12107;17506
Seeland;51896;677;26637;51.12%;26531;288;41;26202;9039;17163
Oberaargau;57251;1242;27950;48.71%;27889;280;72;27537;9433;18104
Emmental;73193;2082;34636;47.21%;34554;406;102;34046;12773;21273
Bern-Mittelland;284540;5323;155302;54.29%;154484;1839;199;152446;59420;93026
Thun;80755;1059;41979;51.80%;41835;494;46;41295;14929;26366
Obersimmental-Saanen;11947;423;6300;52.72%;6299;57;41;6201;1749;4452
Frutigen-Niedersimmental;30609;614;16752;54.54%;16693;240;35;16418;5419;10999
Interlaken-Oberhasli;34008;705;16703;48.84%;16608;224;13;16371;5661;10710
;;;;;;;;;;
Total;722827;13478;383287;52.78%;381513;4906;667;375940;142828;233112
;;;;;;;;;;
Volksinitiative «Familieninitiative: Steuerabzüge auch für Eltern, die ihre Kinder selber betreuen» / Initiative populaire «Initiative pour les familles: déductions fiscales aussi pour les parents qui gardent eux-mêmes leurs enfants»;;;;;;;;;;
Kanton Bern / Canton de Berne;;;;;;;;;;
;;;;;Stimmzettel / Bulletins;;;;;
